title,url,brand,line,size,box_qty,price,in_stock
"Guardian of the Farm Nightwatch JJ BP (5.25"""" x 50)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faganorsa%2Fguardian-nightwatch%2FAL8-PM.html,Guardian of the Farm,"""Guardian of the Farm Nightwatch JJ BP","5.25"" x 50",20,258.99,False
Tatuaje Nicaragua Cojonu '15 (5.0' x 55) - Habano,https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Ftatuaje%2Ftatuaje-nicaragua%2F3UP-PM.html,Tatuaje,Nicaragua Cojonu '15 (5.0' x 55) - Habano,,20,258.99,False
"Las Calaveras LE 2022 LC46  (5.8"""" x 46)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fcrowned-heads-cigars%2Flas-calaveras-le-2022%2F0FK-PM.html,Crowned Heads,"""Las Calaveras LE 2022 LC46","5.8"" x 46",20,258.99,False
"JFR Lunatic Habano 880 (8.0"""" x 80)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faganorsa%2Fj.f.r.-lunatic-habano%2FCFS-PM.html,JFR,"""JFR Lunatic Habano 880","8.0"" x 80",20,258.99,True
"The Corto by Warped X52 (4.75"""" x 52)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fwarped-cigars%2Fthe-corto-by-warped%2FWC7-PM.html,Warped,"""The Corto by Warped X52","4.75"" x 52",20,258.99,False
"Viaje Pina Nohea (5.0"""" x 54)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fviaje-cigars%2Fviaje-pina%2FVJ6-PM-1001.html,Viaje,"""Viaje Pina Nohea","5.0"" x 54",20,260.0,False
"Macanudo Cafe Prince of Wales (8.0"""" x 52)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmacanudo%2Fmacanudo-cafe%2FMA1-PM.html,Macanudo,"""Macanudo Cafe Prince of Wales","8.0"" x 52",20,261.99,True
"ADVentura The Conqueror Captain (6.0"""" x 60)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fadventura-cigars%2Fadventura-the-conqueror%2FAD2-PM.html,ADVentura,"""ADVentura The Conqueror Captain","6.0"" x 60",20,262.8,False
"ADVentura The Royal Return Queen's Pearls Toro (6.0"""" x 54)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fadventura-cigars%2Fadventura-the-royal-return-queen%27s-pearls%2FAD3-PM.html,ADVentura,"""ADVentura The Royal Return Queen's Pearls","6.0"" x 54",20,262.8,False
"My Father No. 3 (crema) (6.0"""" x 49)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmy-father%2Fmy-father%2FMFB-PM.html,My Father,"""My Father No. 3 (crema)","6.0"" x 49",20,262.99,True
