title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Ashton Classic Churchill Connecticut - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-cigars-classic-churchill-connecticut%2F66872%2F%23p-140343,Ashton,Classic,Connecticut Shade,Churchill,7.5 x 52.0,25,133.99,True
Ashton Heritage Puro Sol Churchill Habano - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-heritage-puro-sol-churchill-habano%2F68266%2F%23p-141985,Ashton,Heritage Puro Sol,Ecuadorian Sun Grown,Churchill,7.5 x 52.0,25,135.99,True
Macanudo Inspirado White Robusto Connecticut - Box of 20,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-white-robusto-connecticut-cigar-box-of-20%2F2047650%2F%23p-192238,Macanudo,Inspirado White,Ecuadorian Connecticut,Robusto,5.0 x 50.0,20,135.99,True
CAO Flavours Eileen's Dream Corona - Box of 20,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-flavours-eileens-dream-chocolate-corona-cameroon-box-of-20%2F68148%2F%23p-141859,CAO,Flavours Eileen's Dream,Connecticut Shade,Corona,5.5 x 42.0,20,137.99,True
CAO Flavours Bella Vanilla Corona Cameroon - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-flavours-bella-vanilla-corona-cameroon%2F67914%2F%23p-141568,CAO,Flavours Bella Vanilla,Connecticut Shade,Corona,5.5 x 42.0,20,137.99,True
Oliva Connecticut Reserve Lonsdale - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-connecticut-reserve-lonsdale%2F74689%2F%23p-165222,Oliva,Connecticut Reserve,Connecticut Shade,Lonsdale,6.5 x 43.0,20,139.99,True
Montecristo Platinum - Box of 15,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmonteristo-platinum-rothchilde-tube-cigar%2F2049477%2F%23p-2049476,Montecristo,Platinum,Mexican San Andres,Habana,6.0 x 52.0,15,140.76,True
Macanudo Inspirado Orange Toro Box of 20 - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-orange-toro-honduran-cigars-box-of-20%2F2050208%2F%23p-2037322,Macanudo,Inspirado Orange,Ecuadorian Habano,Toro,6.0 x 50.0,20,143.99,True
Macanudo Inspirado White Toro Connecticut - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-white-toro-connecticut-box-of-20%2F2050234%2F%23p-192246,Macanudo,Inspirado White,Ecuadorian Connecticut,Toro,6.0 x 50.0,20,143.99,True
Macanudo Inspirado Red Toro Habano - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-red-toro-habano-box-of-20%2F100304%2F%23p-193722,Macanudo,Inspirado Red,Honduran Habano,Toro,6.0 x 50.0,20,143.99,True
