brand,title,box_qty,price,url
Cain,Cain 'F' Nub by Oliva - Box of 24,24,196.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-f-460-box-of-24%2F2049666%2F%23p-2048052
Cain,Cain by Oliva 'F' Double Toro Habano - Box of 24,24,248.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-f-double-toro-habano-box-of-24%2F2049665%2F%23p-170689
Cain,Cain by Oliva Robusto Maduro - Box of 24,24,162.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-robusto-maduro-box-of-24%2F2049664%2F%23p-170585
Cain,Cain by Oliva Double Toro Habano - Box of 24,24,211.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-double-toro-habano-box-of-24%2F2049663%2F%23p-170588
Cain,Cain by Oliva Daytona Double Toro Habano - Box of 24,24,211.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-daytona-double-toro-habano%2F82505%2F%23p-175111
Cain,Oliva Cain 'F' Torpedo Habano - Box of 24,24,217.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-f-torpedo-habano%2F2023909%2F%23p-2006989
Fratello,Fratello Bianco - Box of 20,20,232.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello--bianco-cigars%2F2058528%2F%23p-2058526
Fratello,Fratello Bianco - Box of 20,20,214.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello--bianco-cigars%2F2058528%2F%23p-2058524
Fratello,Fratello Bianco - Box of 20,20,222.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello--bianco-cigars%2F2058528%2F%23p-2058525
Espinosa,Espinosa Crema No. 4 - Box of 20,20,186.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fespinosa-crema-no-4%2F2029243%2F%23p-2029242
Cuban Honeys,"Cuban Honeys Vanilla - Pack of 24 (5.2"" x 42)",24,74.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcuban-honeys-vanilla--cigars%2F2037185%2F%23p-2043113
Cuban Honeys,"Cuban Honeys Vanilla - Pack of 24 (5.0"" x 48)",24,79.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcuban-honeys-vanilla--cigars%2F2037185%2F%23p-2043114
Baccarat,Baccarat Churchill Candela - Box of 25,25,111.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbaccarat-churchill-candela%2F2021165%2F%23p-2021283
