retailer,url,name,price,brand,line,vitola,wrapper,ring_gauge,length,availability,platform,tier,brand_source,scraped_at
Fox Cigar,https://foxcigar.com/shop/cigars/j-c-newman/la-unica-no-100-maduro/,La Unica No. 100 Maduro,45.75,Unknown,,Unknown,Maduro,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:43.049399
Fox Cigar,https://foxcigar.com/shop/cigars/la-palina/la-palina-kb-series-part-iii/,La Palina KB Series Part III,10.25,Serie V,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:05:45.485254
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-h99-super-ancho-2/,Liga Privada H99 Super Ancho,22.5,Drew Estate,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:05:48.008658
Fox Cigar,https://foxcigar.com/shop/cigars/cavalier-geneve/cavalier-bii-viso-jalapa-toro/,Cavalier BII Viso Jalapa Toro 6 x 54,11.76,Unknown,,Toro,Unknown,54.0,6.0,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:50.848769
Fox Cigar,https://foxcigar.com/shop/cigars/j-c-newman/brick-house-mighty-mighty/,Brick House Mighty Mighty,9.15,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:53.102119
Fox Cigar,https://foxcigar.com/shop/cigars/cuesta-rey/centenario/cuesta-rey-aristocrat/,Cuesta Rey Aristocrat,10.8,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:55.646426
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/acid-toast-fresh-pack/,Acid Toast Fresh Pack,43.45,Drew Estate,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:05:58.455728
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/st-dupont/megajet-lighter-red/,S.T. Dupont Megajet Lighter Red and Chrome – 020703,265.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:06:00.609622
Fox Cigar,https://foxcigar.com/shop/cigars/curivari/curivari-buenaventura-dimensiones-d7/,Curivari Buenaventura Dimensiones D7,7.5,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:03.353974
Fox Cigar,https://foxcigar.com/shop/cigars/my-father/don-pepin-garcia-20th-anniversary/,Don Pepin Garcia 20th Anniversary,40.0,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:05.496304
Fox Cigar,https://foxcigar.com/shop/cigars/oscar-valladares/oscar-valladares-mcfly-sixty/,Oscar Valladares McFly Sixty,14.45,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:07.713848
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/casa-fuente-churchill/,Casa Fuente Churchill,30.0,Arturo Fuente,,Churchill,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:06:09.821656
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/20-acre-farm-gordito/,20 Acre Farm Gordito,16.7,Unknown,,Gordito,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:12.632868
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/elie-bleu-lighters/j-11-delgado-flame-red-lighter/,Elie Bleu J-11 Delgado Flame Red Lighter EBJ1105,158.99,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:06:14.845223
Fox Cigar,https://foxcigar.com/shop/cigars/black-label-trading-co/super-deluxe-robusto-bp/,Super Deluxe Robusto BP,12.0,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:17.383431
Fox Cigar,https://foxcigar.com/shop/cigars/j-c-newman/perla-del-mar-corojo-corona-gorda/,Perla Del Mar Corojo Corona Gorda,7.55,Unknown,,Corona,Corojo,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:19.654015
Fox Cigar,https://foxcigar.com/shop/accessories/cutters/fox-vertigo-straight-cutter-blue/,Fox Vertigo Straight Cutter Blue,8.99,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:06:22.109660
Fox Cigar,https://foxcigar.com/shop/cigars/boutique/cavalier-bii-viso-jalapa-toro-gordo/,Cavalier BII Viso Jalapa Toro Gordo 6 x 60,12.38,Unknown,,Toro,Unknown,60.0,6.0,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:24.613682
Fox Cigar,https://foxcigar.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-serie-s-maduro-robusto-gordo/,La Gloria Cubana Serie S Maduro Robusto Gordo,8.29,Serie V,,Robusto,Maduro,,,Out of Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:06:27.216481
Fox Cigar,https://foxcigar.com/shop/accessories/fox-vertigo-lighter-mechanic-with-cigar-punch-chrome/,Fox Vertigo Lighter Mechanic With Cigar Punch- Gunmetal,29.99,Punch,,Unknown,Unknown,,,In Stock,WooCommerce,1,priority_variation,2025-10-26T20:06:29.737224
Fox Cigar,https://foxcigar.com/shop/accessories/black-leather-cutter-case/,Black Leather Cutter Case,54.99,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:32.020750
Fox Cigar,https://foxcigar.com/shop/cigars/padron/1964/monarca/,Padron 1964 Anniversary Serie Monarca Natural,15.35,Padron,1964 Anniversary,Unknown,Natural,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:06:34.726715
Fox Cigar,https://foxcigar.com/shop/collectable-barrel-pairings/buffalo-trace-toro-box-with-buffalo-trace-bourbon-package/,Buffalo Trace Toro Box with Buffalo Trace Bourbon Package,204.99,Unknown,,Toro,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:06:37.091111
Fox Cigar,https://foxcigar.com/shop/cigars/ashton/la-aroma-de-cuba-reserva-romantico/,La Aroma de Cuba Reserva Romantico,13.75,La Aroma de Cuba,Pasion,Unknown,Unknown,,,Out of Stock,WooCommerce,1,master_exact,2025-10-26T20:06:39.269082
Fox Cigar,https://foxcigar.com/shop/cigars/tatuaje/tatuaje-20th-rl22/,Tatuaje 20th RL22,15.99,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:41.635169
Fox Cigar,https://foxcigar.com/shop/cigars/curivari/curivari-buenaventura-cremas-c100/,Curivari Buenaventura Cremas C100,7.0,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:44.337888
Fox Cigar,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-maduro-sampler/,Padron 1964 Anniversary Series Maduro Sampler,117.55,Padron,1964 Anniversary,Unknown,Maduro,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:06:46.334553
Fox Cigar,https://foxcigar.com/shop/cigars/montecristo/1935-anniversary/montecristo-1935-anniversary-nicaragua-robusto/,Montecristo 1935 Anniversary Nicaragua Robusto,17.81,Montecristo,1935 Anniversary Nicaragua,Robusto,Unknown,,,In Stock,WooCommerce,1,master_combined,2025-10-26T20:06:48.519298
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/undercrown-shade-tin/,Undercrown Shade Coronets,16.99,Drew Estate,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:06:51.199559
Fox Cigar,https://foxcigar.com/shop/cigars/curivari/curivari-buenaventura-bv-mini-maduro/,Curivari Buenaventura BV Mini Maduro,6.0,Unknown,,Unknown,Maduro,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:06:53.725276
Fox Cigar,https://foxcigar.com/shop/cigars/j-c-newman/havana-q-double-churchill/,Havana Q Double Churchill,67.0,Unknown,,Churchill,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:06:56.251544
Fox Cigar,https://foxcigar.com/shop/cigars/cavalier-geneve/cavalier-white-series-petit-no-2/,Cavalier White Series Petit No.2,11.8,Serie V,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:06:58.851162
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/god-of-fire-toro/,God of Fire Toro,28.5,Unknown,,Toro,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:01.276996
Fox Cigar,https://foxcigar.com/shop/cigars/diesel/diesel-founders-collection-raceking-toro/,Diesel Founder’s Collection Raceking Toro,15.99,Unknown,,Toro,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:07:03.848093
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/st-dupont/s-t-dupont-biggy-blue-lacquer-and-golden/,S.T. Dupont Biggy Blue Lacquer and Golden – 025005,425.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:07:06.338376
